,ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
4856,B-1653,niclosamide ethanolamine salt,"InChI=1S/C13H8Cl2N2O4.C2H7NO/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15;3-1-2-4/h1-6,18H,(H,16,19);4H,1-3H2",XYCDHXSQODHSLG-UHFFFAOYSA-N,NCCO.Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,-3.5891,0.0,1.0,G1,388.207,2.7969,95.3166,25.0,6.0,4.0,10.0,4.0,134.0,2.0,0.0,0.0,2.0,138.72,152.4884055,7.05e-07,768.8272025
7054,B-4419,3-hydroxy-5-methylisoxazole,"InChI=1S/C4H5NO2/c1-3-2-4(6)5-7-3/h2H,1H3,(H,5,6)",KGVPNLBXJKTABS-UHFFFAOYSA-N,CC1=CC(=O)NO1,-0.0666,0.0,1.0,G1,99.089,0.27632,24.0657,7.0,2.0,1.0,3.0,0.0,38.0,1.0,0.0,0.0,1.0,46.0,39.92320088,3.296343585,197.4547535
6848,B-4115,"2,2',3,3',6,6'-hexachlorobiphenyl",InChI=1S/C12H4Cl6/c13-5-1-3-7(15)11(17)9(5)10-6(14)2-4-8(16)12(10)18/h1-4H,FZFUUSROAHKTTF-UHFFFAOYSA-N,Clc1ccc(Cl)c(c1Cl)c2c(Cl)ccc(Cl)c2Cl,-7.9032,0.455045355,3.0,G5,360.882,7.274,81.938,18.0,0.0,0.0,6.0,1.0,94.0,2.0,0.0,0.0,2.0,0.0,134.3080947,2.854646553,564.9500799
9936,I-2,2_amino_5_bromobenzoic_acid,"InChI=1S/C7H6BrNO2/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3H,9H2,(H,10,11)",CUKXRHLWPSBCTI-UHFFFAOYSA-N,Brc1cc(C(O)=O)c(N)cc1,-3.07,0.0,1.0,G1,216.034,1.7295,45.5137,11.0,2.0,2.0,4.0,1.0,58.0,1.0,0.0,0.0,1.0,63.32,71.95953939,3.23220887,298.4920898
992,A-1716,2-phenylpropane-2-peroxol,"InChI=1S/C9H12O2/c1-9(2,11-10)8-6-4-3-5-7-8/h3-7,10H,1-2H3",YQHLDYVWEZKEOX-UHFFFAOYSA-N,CC(C)(OO)c1ccccc1,-1.039379878,0.0,1.0,G1,152.193,2.4113,43.1818,11.0,2.0,1.0,2.0,2.0,60.0,1.0,0.0,0.0,1.0,29.46,66.36330376,2.928444531,216.2641593
9317,F-650,Hexyl 3-bromo-4-hydroxybenzoate,"InChI=1S/C13H17BrO3/c1-2-3-4-5-8-17-13(16)10-6-7-12(15)11(14)9-10/h6-7,9,15H,2-5,8H2,1H3",VXNRGULEPUZZIY-UHFFFAOYSA-N,CCCCCCOC(=O)C1=CC(Br)=C(O)C=C1,-4.22,0.0,1.0,G1,301.18,3.8918,70.2313,17.0,3.0,1.0,4.0,6.0,94.0,1.0,0.0,0.0,1.0,46.53,109.9228466,2.38911061,376.9273662
4996,B-1815,"2,7-dichloronaphthalene",InChI=1S/C10H6Cl2/c11-9-3-1-7-2-4-10(12)6-8(7)5-9/h1-6H,DWBQZSYTSNYEEJ-UHFFFAOYSA-N,Clc1ccc2ccc(Cl)cc2c1,-5.9217,0.0,1.0,G1,197.064,4.1466,53.968,12.0,0.0,0.0,2.0,0.0,60.0,2.0,0.0,0.0,2.0,0.0,80.7196001,2.797846408,384.3581353
912,A-1565,3-iodoprop-2-yn-1-yl N-butylcarbamate,"InChI=1S/C8H12INO2/c1-2-3-6-10-8(11)12-7-4-5-9/h2-3,6-7H2,1H3,(H,10,11)",WYVVKGNFXHOCQV-UHFFFAOYSA-N,CCCCNC(=O)OCC#CI,-3.203337363,0.014253799,3.0,G5,281.093,1.9086,56.0547,12.0,2.0,1.0,4.0,4.0,68.0,0.0,0.0,0.0,0.0,38.33,86.37983885,3.254720762,183.2322193
7237,C-144,5-methyl-5-(3-methyl-2-butenyl)barbituric  acid,"InChI=1S/C10H14N2O3/c1-6(2)4-5-10(3)7(13)11-9(15)12-8(10)14/h4H,5H2,1-3H3,(H2,11,12,13,14,15)",CVWHRDJDXCEZGH-UHFFFAOYSA-N,CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,-2.6,0.0,1.0,G1,210.233,0.715,53.8364,15.0,3.0,2.0,5.0,2.0,82.0,0.0,1.0,1.0,1.0,75.27,87.91258654,2.900705986,333.6790017
4046,B-640,2-butoxyethanol acetate,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",NQBXSWAWVZHKBZ-UHFFFAOYSA-N,CCCCOCCOC(C)=O,-1.2504,0.0,1.0,G1,160.213,1.3662,42.36,11.0,3.0,0.0,3.0,6.0,66.0,0.0,0.0,0.0,0.0,35.53,67.68245839,2.849761282,101.510293
18,A-26,1-chloro-3-(trifluoromethyl)benzene,"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",YTCGOUNVIAWCMG-UHFFFAOYSA-N,FC(F)(F)c1cccc(Cl)c1,-3.411513885,0.0,1.0,G1,180.556,3.3588,36.454,11.0,0.0,0.0,4.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,66.59621767,3.059901692,254.1077533
856,A-1481,3-methylbutyl propanoate,"InChI=1S/C8H16O2/c1-4-8(9)10-6-5-7(2)3/h7H,4-6H2,1-3H3",XAOGXQMKWQFZEM-UHFFFAOYSA-N,CCC(=O)OCCC(C)C,-2.870073641,0.0,1.0,G1,144.214,1.9857,40.705,10.0,2.0,0.0,2.0,4.0,60.0,0.0,0.0,0.0,0.0,26.3,62.56891316,3.11596431,97.43071362
7436,C-751,medazepam,"InChI=1S/C16H15ClN2/c1-19-10-9-18-16(12-5-3-2-4-6-12)14-11-13(17)7-8-15(14)19/h2-8,11H,9-10H2,1H3",YLCXGBZIZBEVPZ-UHFFFAOYSA-N,CN1CCN=C(C2=CC=CC=C2)C3=C1C=CC(=C3)Cl,-4.43,0.335,2.0,G3,270.763,3.6272,81.67,19.0,2.0,0.0,3.0,1.0,96.0,2.0,0.0,1.0,3.0,15.6,117.900857,2.184410254,619.9009892
5302,B-2151,"1h-purine-2,6-dione, 8-ethyl-3,7-dihydro-1,3,7-t","InChI=1S/C10H14N4O2/c1-5-6-11-8-7(12(6)2)9(15)14(4)10(16)13(8)3/h5H2,1-4H3",DRWCPERSPGFNIK-UHFFFAOYSA-N,CCc1nc2N(C)C(=O)N(C)C(=O)c2n1C,-1.5687,0.0,1.0,G1,222.248,-0.4669,60.574,16.0,6.0,0.0,6.0,1.0,86.0,2.0,0.0,0.0,2.0,61.82,91.75884125,3.125396573,674.6545748
6548,B-3535,me (1-(4-bromo)phenylsulfonyl) cyclobutane carbo,"InChI=1S/C12H13BrO4S/c1-17-11(14)12(7-2-8-12)18(15,16)10-5-3-9(13)4-6-10/h3-6H,2,7-8H2,1H3",DXGXTGYXCFBYDJ-UHFFFAOYSA-N,COC(=O)C1(CCC1)[S](=O)(=O)c2ccc(Br)cc2,-3.55,0.0,1.0,G1,333.203,2.3185,69.9258,18.0,4.0,0.0,6.0,3.0,98.0,1.0,1.0,1.0,2.0,60.44,114.383238,2.473319254,558.2451363
8446,C-2525,flavopiridol,"InChI=1S/C21H20ClNO5/c1-23-7-6-12(17(27)10-23)19-14(24)8-15(25)20-16(26)9-18(28-21(19)20)11-4-2-3-5-13(11)22/h2-5,8-9,12,17,24-25,27H,6-7,10H2,1H3",BIIVYFLTOXDAOV-UHFFFAOYSA-N,CN1CCC(C(O)C1)C2=C(O)C=C(O)C3=C2OC(=CC3=O)C4=C(Cl)C=CC=C4,-4.26,0.0,1.0,G1,401.846,3.3046,107.1214,28.0,6.0,3.0,7.0,2.0,146.0,3.0,1.0,1.0,4.0,94.14,165.7661235,1.996732579,1109.881632
2183,A-3610,"2-[(E)-2-{4-[ethyl(2-hydroxyethyl)amino]phenyl}diazen-1-yl]-6-methoxy-3-methyl-1,3-benzothiazol-3-ium methyl sulfate","InChI=1S/C19H23N4O2S.CH4O4S/c1-4-23(11-12-24)15-7-5-14(6-8-15)20-21-19-22(2)17-10-9-16(25-3)13-18(17)26-19;1-5-6(2,3)4/h5-10,13,24H,4,11-12H2,1-3H3;1H3,(H,2,3,4)/q+1;/p-1",MHOFGBJTSNWTDT-UHFFFAOYSA-M,CCN(CCO)c1ccc(cc1)N=Nc2sc3cc(OC)ccc3[n+]2C.CO[S]([O-])(=O)=O,-1.020815087,0.0,1.0,G1,482.584,3.0614,121.85,32.0,10.0,1.0,12.0,8.0,174.0,3.0,0.0,0.0,3.0,127.73,190.8661462,5.34e-07,1146.856409
6314,B-3290,"1-pentanesulfinothioic acid, s-pentyl ester","InChI=1S/C10H22OS2/c1-3-5-7-9-12-13(11)10-8-6-4-2/h3-10H2,1-2H3",UXGUHQNYRZMSQI-UHFFFAOYSA-N,CCCCCS[S](=O)CCCCC,-3.1711,0.0,1.0,G1,222.419,3.7637,64.5174,13.0,2.0,0.0,3.0,9.0,80.0,0.0,0.0,0.0,0.0,17.07,88.92105637,3.105082536,126.0931533
9748,G-156,"2,3,5,6-Tetrachlorophenol","InChI=1S/C6H2Cl4O/c7-2-1-3(8)5(10)6(11)4(2)9/h1,11H",KEWNKZNZRIAIAK-UHFFFAOYSA-N,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37,0.0,1.0,G1,231.893,4.0058,48.1468,11.0,1.0,1.0,5.0,0.0,60.0,1.0,0.0,0.0,1.0,20.23,83.43870178,3.455546484,270.8740242
7698,C-1322,transfluthrin,"InChI=1S/C15H12Cl2F4O2/c1-15(2)7(3-10(16)17)11(15)14(22)23-5-6-12(20)8(18)4-9(19)13(6)21/h3-4,7,11H,5H2,1-2H3",DDVNRFNDOPPVQJ-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC2=C(F)C(=CC(=C2F)F)F,-6.81,0.0,1.0,G1,371.157,4.8774,76.62,23.0,2.0,0.0,8.0,4.0,126.0,1.0,1.0,1.0,2.0,26.3,139.5641894,2.112361523,658.2947166
